,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
LA Clippers,1004.0,994.73,1005.4,1010.69,1001.93,1004.49,1002.54,995.03,987.71,981.26,977.97,972.05,976.81,973.68,971.17,961.82,969.63,963.06,956.46,952.11,948.0,941.9,953.54,947.84,945.29,943.44,935.88,931.69,941.74,953.79,961.98,971.66,981.84,989.37,980.51,982.74,977.08,984.46,990.89,996.45,1001.69,1005.92,994.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,993.68,1002.42,1007.65,1000.0,1001.95,1006.37,1012.92,1018.59,1021.48,1011.71,1017.54,1008.62,1014.81,1024.63,1031.06,1033.33,1039.93,1044.6,1049.1,1040.28,1043.75,1034.37,1038.13,1031.04,1033.78,1038.25,1028.2,1018.04,1009.49,1016.46,1008.68,1013.66,1018.13,1021.89,1015.02,1010.48,1000.97,1010.96,1001.7,993.25,1002.07,1008.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,1004.9,993.3,1003.36,996.12,998.03,993.61,986.28,981.02,974.31,981.75,976.01,969.87,958.89,954.09,949.24,961.53,966.34,961.68,965.69,970.04,974.96,970.69,976.39,986.09,981.68,989.24,994.99,987.62,983.03,988.42,996.9,991.77,988.42,983.44,978.97,981.5,974.17,973.04,977.13,972.3,981.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,996.0,1007.6,1013.32,1023.75,1018.93,1012.38,1014.33,1008.18,1016.28,1020.68,1023.46,1015.73,1010.22,1013.21,1020.59,1031.95,1037.98,1040.99,1043.85,1040.52,1046.62,1038.67,1036.67,1025.94,1020.12,1013.65,1018.98,1012.12,1007.73,998.52,1005.91,1012.97,1024.74,1030.47,1024.37,1030.16,1020.34,1006.74,1002.3,1007.93,1004.22,1008.21,999.63,1004.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,1002.83,1009.9,1014.78,1009.97,1016.22,1022.57,1019.41,1021.88,1010.49,1018.77,1013.61,1016.08,1008.74,1015.48,1005.66,998.96,993.15,987.23,980.19,977.33,972.34,979.48,975.24,980.22,973.05,967.84,977.39,962.13,958.02,955.46,962.57,954.09,960.39,966.83,964.43,966.38,972.59,967.99,972.53,969.45,961.03,955.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,1004.0,995.26,999.14,992.04,990.09,998.47,1005.52,996.02,1008.26,1017.71,1022.32,1028.29,1022.21,1030.33,1034.82,1032.8,1027.03,1022.78,1026.78,1034.48,1037.99,1041.87,1044.42,1040.77,1045.65,1050.37,1044.62,1050.43,1052.99,1060.07,1056.33,1046.07,1055.2,1043.02,1049.12,1055.41,1065.23,1070.45,1062.42,1064.54,1072.96,1068.25,1064.89,1058.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,995.1,991.29,979.84,969.24,966.68,957.92,962.37,965.3,960.99,952.57,947.73,941.54,934.65,929.9,926.5,923.29,917.07,925.82,921.81,917.42,912.92,909.41,905.53,897.56,895.46,907.09,914.17,920.51,929.21,934.63,926.81,922.98,918.76,916.16,909.08,902.88,897.09,893.33,886.97,896.58,892.13,889.4,893.3,887.6,884.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Knicks,1005.47,1011.66,1005.94,999.69,993.76,1001.36,1008.7,1018.2,1027.85,1033.99,1024.85,1030.36,1027.37,1029.61,1022.52,1027.98,1036.35,1041.34,1050.88,1045.57,1051.25,1060.06,1064.69,1071.65,1077.99,1079.14,1071.97,1076.36,1069.28,1071.61,1074.14,1076.74,1073.89,1065.15,1057.53,1047.17,1052.83,1048.25,1053.2,1043.57,1036.08,1030.93,1020.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,1011.31,1013.24,1017.95,1025.59,1030.32,1034.69,1042.08,1050.84,1058.35,1055.11,1064.04,1069.78,1077.87,1086.79,1091.84,1096.59,1100.91,1108.12,1115.07,1119.32,1122.37,1125.87,1130.49,1135.55,1141.29,1150.93,1147.31,1151.5,1145.69,1150.28,1139.37,1130.39,1137.05,1140.76,1146.47,1154.5,1149.9,1134.37,1136.27,1137.4,1141.84,1149.4,1156.11,1152.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,1004.0,999.82,992.98,986.31,977.82,986.42,997.15,989.2,996.76,992.78,996.38,1005.52,1009.75,1006.19,1011.98,1021.33,1028.42,1022.15,1034.5,1038.23,1041.89,1039.1,1041.1,1036.47,1042.29,1035.95,1030.17,1031.75,1021.42,1024.78,1015.55,1017.95,1015.91,1017.72,1011.61,1015.23,1007.8,1009.48,1002.86,1007.31,1012.14,1002.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,1002.0,1006.08,1012.75,1016.87,1014.82,1023.23,1020.38,1013.22,1019.55,1016.18,1018.9,1013.27,1015.78,1010.0,1015.81,1009.78,997.43,1003.05,997.56,1004.01,1005.99,1013.16,1009.4,1014.4,1010.8,1017.97,1022.55,1015.71,1009.66,1003.0,1006.35,1012.83,1020.45,1018.68,1025.07,1031.69,1029.63,1036.72,1025.86,1023.02,1026.83,1022.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,1004.0,993.33,984.0,980.27,978.36,988.54,996.37,989.93,997.25,1003.7,1012.12,1017.35,1026.6,1023.7,1031.24,1033.26,1039.5,1030.52,1035.59,1032.54,1024.75,1033.57,1025.83,1029.48,1019.84,1017.1,1019.02,1015.38,1025.54,1029.37,1033.59,1038.35,1029.62,1035.92,1040.52,1037.39,1044.72,1049.3,1054.36,1048.73,1045.68,1050.83,1054.74,1059.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,996.0,1005.33,1000.04,1007.69,1010.54,1013.46,1007.79,1011.03,1006.63,1003.03,1007.87,998.96,993.95,986.41,984.49,988.68,981.73,988.77,982.63,979.13,976.24,984.05,980.17,970.47,958.84,963.95,965.62,969.31,965.44,962.08,953.89,960.23,963.62,957.91,964.11,970.02,978.18,980.73,986.92,981.97,973.65,982.04,990.49,994.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,996.0,998.08,992.85,988.48,981.82,984.98,980.56,985.45,976.52,967.07,961.25,951.11,945.14,939.68,935.36,923.07,929.29,935.06,929.99,924.37,919.45,913.33,924.06,917.52,911.01,906.29,904.62,900.93,903.84,900.74,906.44,899.47,889.29,885.16,878.86,872.65,870.44,863.58,874.61,884.12,893.75,900.76,896.81,891.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,1011.49,1015.3,1021.37,1029.27,1034.09,1026.26,1023.37,1030.21,1034.52,1038.23,1033.27,1031.11,1036.57,1041.42,1046.98,1040.74,1046.88,1050.52,1042.82,1047.09,1049.88,1041.91,1044.01,1051.1,1054.72,1060.35,1069.05,1072.59,1083.5,1092.48,1082.4,1073.82,1076.67,1079.8,1073.89,1071.36,1078.23,1082.67,1080.55,1072.99,1078.83,1082.19,1086.07,1081.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,1008.87,1003.99,997.27,989.37,981.25,988.12,995.45,1006.84,1013.55,1007.22,1012.33,1019.69,1026.05,1028.46,1034.24,1041.41,1045.95,1052.27,1054.06,1047.25,1037.71,1040.6,1037.13,1024.53,1019.21,1012.25,1018.72,1022.83,1015.29,1005.88,1015.09,1002.61,1010.49,1012.53,1009.65,1017.43,1025.05,1026.78,1021.84,1023.9,1016.81,1021.79,1017.56,1008.74,1018.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,1009.27,1007.19,1010.92,1008.07,997.89,988.0,990.92,984.76,972.52,967.91,977.19,971.51,975.26,968.83,961.62,959.35,952.0,957.62,950.25,957.84,964.54,955.73,949.99,954.4,959.97,955.5,953.92,947.63,942.24,946.2,956.28,951.66,944.13,939.35,931.19,929.29,932.3,919.14,927.69,925.1,916.17,908.52,904.64,911.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,996.0,988.93,995.25,985.33,981.21,973.82,963.09,955.75,946.23,936.5,932.0,929.96,923.12,913.73,909.24,902.07,900.57,912.16,900.83,905.07,898.62,889.94,884.65,882.1,892.03,886.4,893.77,890.23,883.41,895.89,901.02,896.26,898.66,908.99,902.7,910.13,903.74,894.13,889.07,883.83,876.82,874.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
