,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
Los Angeles Kings,989.6,998.66,989.67,981.16,972.01,964.87,974.7,984.03,975.15,985.6,993.69,985.79,976.82,989.4,978.95,988.66,1001.49,1010.09,1018.79,1009.07,999.89,991.49,1000.91,992.96,1000.81,992.32,983.03,995.8,1004.93,994.75,985.21,977.05,969.31,979.61,968.93,959.68,973.44,967.68,960.62,972.15,984.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Wild,1012.0,1000.98,1009.49,999.34,988.73,979.83,989.88,980.86,971.44,962.05,954.79,946.47,958.36,967.25,960.07,971.45,980.18,971.86,983.39,992.45,1002.66,1014.7,1025.38,1033.25,1043.76,1032.92,1040.17,1026.83,1014.69,1023.43,1035.72,1043.26,1054.51,1065.85,1073.03,1081.55,1071.56,1060.54,1066.57,1074.78,1064.13,1072.1,1060.57,1048.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal Canadiens,989.6,1001.14,1009.48,1018.5,1026.8,1016.98,1025.93,1032.86,1023.01,1031.19,1039.42,1047.23,1037.25,1028.31,1039.51,1026.68,1012.83,1004.34,995.3,984.31,994.46,1003.4,1012.99,1003.65,992.95,1001.69,1010.54,999.91,988.89,998.68,989.69,1000.41,990.22,999.21,1008.81,998.28,1009.83,1001.96,1011.55,1021.89,1010.18,1019.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashville Predators,1008.8,999.56,1009.91,998.93,990.63,981.11,970.96,980.7,989.58,980.95,970.49,961.38,970.22,961.78,952.89,944.87,937.35,928.29,939.01,929.58,923.41,914.2,927.36,937.5,928.78,940.7,950.57,942.45,955.13,966.6,960.58,970.31,962.5,972.68,982.06,993.08,982.87,991.54,1000.93,989.41,998.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey Devils,989.6,999.24,1008.12,1017.66,1026.78,1036.41,1045.43,1052.6,1060.33,1047.28,1034.03,1043.0,1031.87,1040.81,1049.17,1038.98,1047.08,1054.44,1041.65,1032.01,1020.76,1029.47,1035.76,1045.57,1035.37,1023.87,1014.43,1003.16,993.21,1001.79,991.79,1003.61,992.9,1002.25,1010.56,1000.72,992.39,983.83,972.45,981.3,991.75,982.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Islanders,991.46,981.83,971.98,982.66,991.53,999.37,1012.24,1003.0,991.61,981.38,991.9,1001.64,992.8,981.42,993.89,1004.08,1012.59,1021.48,1012.29,1021.9,1033.86,1022.36,1030.81,1020.74,1011.79,1001.98,1012.48,1025.62,1035.87,1023.88,1032.23,1043.18,1052.13,1042.14,1029.03,1019.3,1027.63,1036.42,1024.51,1030.75,1016.64,1024.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Rangers,989.6,1001.14,1013.75,1004.6,994.91,986.28,996.1,986.05,976.23,963.76,974.33,983.68,992.9,983.38,994.99,982.52,991.58,1003.7,1012.5,1003.44,994.16,986.03,977.06,984.81,995.77,1007.87,999.06,1009.55,1019.01,1012.06,1002.87,991.16,1000.15,990.57,978.6,986.38,995.7,986.32,998.41,989.62,982.22,972.39,985.23,976.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottawa Senators,1008.8,997.88,987.53,975.79,985.43,976.56,967.91,977.64,992.68,1004.29,992.81,1000.32,992.51,984.12,993.79,1004.04,995.43,1006.14,997.44,1007.51,1016.2,1006.78,1015.02,1003.9,993.69,1004.39,994.93,984.42,975.84,985.79,978.25,987.08,997.39,1005.25,1016.96,1008.03,997.54,986.11,995.54,1003.08,993.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,991.42,983.1,994.85,984.9,993.8,1004.64,994.91,1004.15,1013.72,1022.83,1011.42,1000.48,1010.46,1018.48,1008.81,999.14,1006.85,996.53,1003.69,1014.94,1005.12,1014.99,1023.94,1034.14,1021.46,1030.77,1023.7,1033.27,1023.57,1015.25,1007.35,1017.54,1006.95,997.63,1007.3,1014.69,1002.68,1011.9,1000.12,1010.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,1010.4,1018.94,1006.33,997.35,1006.5,1015.59,1026.91,1035.62,1025.76,1034.73,1025.16,1033.48,1023.29,1013.91,1023.27,1014.91,1005.2,994.48,1003.91,991.87,983.27,992.81,1001.13,987.95,1000.63,1010.91,1003.68,995.86,986.07,977.51,968.55,959.53,949.22,939.62,950.15,940.21,951.12,965.51,976.12,988.04,996.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
